,title,label
0, 비농업인도 농지 소유투기 부른 농지법,0
1, 한국조선해양 원유운반선 등 10척 수주,1
2, 지난해 아파트 전세 실거래가 상승률 전국 2위,0
3, 공동주택 공시가격 급등세 부담 늘 듯,1
4, 정부지자체 올해 지방과학기술진흥에 6조 400억 지원,0
5, IPA 사내벤처팀 디지털 항만 조성 위해 밸류링크유와 협약,0
6, 뉴욕 증시 백신경기 회복 낙관론에 상승세,1
7, 어선 거래 전문가 올해 어선중개인 교육 신청하세요,0
8, 올해 울산 공동주택 공시가격 18.68% 급등,1
9, 석유관리원 배출가스 노상검사 연계 가짜석유 합동점검,0
10, 호텔스닷컴 등 5곳 타 사이트에 싸게 팔지 마 조항 고쳐,0
11, 폴크스바겐 2023년부터 새 배터리셀 도입각기둥모양종합,0
12, 비트코인 통해 재산 숨긴 체납자 철퇴...2416명에 366억 강제징수,-1
13, 폭스바겐 배터리 공장 6곳 설립한국산 줄이고 자체생산 늘릴듯,0
14, 보조날개 손상됐는데 그대로 비행...제주항공 또 아찔 운항,0
15, 서울 9억 이상 종부세 대상 아파트 41만 호...세종은 70배↑,1
16, 공동주택 공시가격 19%↑...세금 부담 크게 늘어,1
17, 에듀윌 공무원 회계학 최정연 교수 현직 세무사의 노하우로 비전공자도 쉽게 이해,0
18, 폭스바겐 전기차에 각형 배터리 확대키로LGSK에 타격,1
19, KAIST 김지희 교수 소득 불평등 설명 이론으로 루카스 상,0
20, 자동차 생산내수수출 2개월 연속 두 자릿수 증가,1
21, 코로나 백신 휴가 도입되나법안 발의,0
22, 구글 연매출 11억까지 인앱결제 수수료 15%로 인하,0
23, 더디기만 한 균형 발전전북 180만 붕괴 초읽기,0
24, 닭고기 전문 하림간편식으로 돌파구,1
25, 제주항공 보조날개 손상에도 운항국토부 조사,0
26, 대구시 추경 2천6백억 원 편성,0
27, 코로나19 타격실업률 22년 만에 최악,0
28, 철원군서울시 철원 농특산물 라이브 커머스로 판매,0
29, 금형공업협동조합 국제 금형 및 관련기기전 16일부터 온라인 개최,0
30, 2021년 강원도 공동주택 공시가격안 5.18% 상승,0
31, 뿔난 충남도 서산 민항 유치 본격 추진,1
32, 서해선경부고속철과 연결해야메가시티 공동 연구,0
33, 코로나 언택트 시대의 틈새야쿠르트 아줌마들이 메운다,0
34, 주총 앞두고 여성 사외이사 모시기 경쟁왜,0
35, 암호화폐로 재산 숨긴 체납자 첫 적발2천4백 명 국세청에 덜미,-1
36, 폴크스바겐 2023년부터 새 배터리셀 도입각기둥모양,0
37, 대전충남 지역화폐지역사랑상품권 부정유통 일제단속,-1
38, 전세보증금 어디서 찾나10명 이상 전세금 날려,0
39, 미국 경기 좋아질 때 미국 밖 금융시장은 사달이 난다 김학균의 금융의 속살,0
40, 암호화폐로 재산 숨긴 체납자 첫 적발2천4백 명 국세청에 덜미,-1
41, 부산시 유턴 인재 채용 기업에 인건비 지원,0
42, LH 사장 재공모신임 취임 미뤄질 듯,0
43, 코로나19 피해기업 연체이자 감면 9월까지 연장,-1
44, 부울경 주민 67% 가덕신공항 특별법 잘된 일,0
45, 공영쇼핑 라이브커머스 매화꽃 축제 생방송매실상품도 판매,0
46, 늘어난 보유세 6억 원 이하 1주택자는 완화,0
